date,천안시 동남구,천안시 서북구,공주시,보령시,아산시,서산시,논산시,계룡시,당진시,금산군,부여군,서천군,청양군,홍성군,예산군,태안군
2025-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-02,0.4,0.3,1.3,1.9,0.3,0.4,1.5,0.5,0.2,1.9,1.5,3.6,1.4,1.5,1.4,1.1
2025-06-03,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-08,0.7,0.7,0.6,1.5,0.9,0.9,0.2,0.5,1.1,0.8,0.3,0.8,1.2,1.8,0.7,0.8
2025-06-09,0.3,0.3,0.3,0.9,0.0,0.2,0.0,0.0,0.5,0.0,0.1,0.5,0.2,0.2,0.1,0.3
2025-06-10,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.4,0.4,0.1,0.0
2025-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-13,13.7,11.1,20.9,22.6,12.0,10.5,37.6,26.2,10.7,20.2,24.1,33.4,26.2,16.8,17.6,10.5
2025-06-14,17.0,11.9,20.8,26.5,12.2,6.6,60.4,44.7,5.0,41.8,28.9,38.4,23.8,11.9,11.2,7.2
2025-06-15,3.0,6.1,4.4,4.6,4.8,4.9,3.3,2.7,5.6,2.5,3.7,3.2,4.1,5.3,3.6,6.9
2025-06-16,4.6,8.4,6.1,5.0,5.6,35.4,12.2,12.1,18.4,6.5,7.2,6.9,3.7,7.5,6.1,31.8
2025-06-17,4.0,7.6,2.2,9.9,2.5,14.7,3.4,1.4,0.4,1.3,1.6,0.9,2.3,2.4,2.1,8.7
2025-06-18,0.1,0.4,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-19,0.7,0.3,0.6,1.0,0.0,0.9,0.3,0.6,0.8,0.0,1.0,1.0,0.2,0.3,0.1,1.2
2025-06-20,55.9,50.2,70.7,80.2,46.0,48.4,36.1,44.2,42.2,21.7,64.5,59.9,66.2,71.0,62.9,46.0
2025-06-21,44.8,26.6,60.7,64.6,24.9,5.6,100.4,109.4,2.9,122.9,104.2,104.0,54.9,31.9,30.8,3.8
2025-06-22,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-24,18.5,19.9,20.5,5.8,15.6,6.2,29.5,26.8,7.8,25.9,17.4,12.4,12.7,6.1,8.3,3.6
2025-06-25,2.5,2.2,4.9,6.7,3.6,5.0,4.3,3.2,8.8,2.0,5.2,5.0,4.2,5.5,6.0,3.5
