emd_cd,emd_nm,sgg_nm,parcels,area_km2,wet_freq,dry_freq
44210102,동문동,서산시,203,0.1246,0.1548,0.0082
44230109,내동,논산시,241,0.234,0.1392,0.0111
44150120,신관동,공주시,109,0.1496,0.139,0.0118
44133103,백석동,천안시서북구,189,0.1296,0.1334,0.0262
44210107,석림동,서산시,638,0.9153,0.1269,0.0131
44150121,금흥동,공주시,286,0.3134,0.1262,0.01
44150119,월송동,공주시,141,0.1808,0.1261,0.0125
44150127,동현동,공주시,193,0.3063,0.1257,0.0054
44210112,오남동,서산시,1276,2.0359,0.1251,0.0043
44210310,인지면,서산시,4930,11.129,0.1238,0.0065
44150126,송선동,공주시,227,0.3384,0.1218,0.0071
44150123,월미동,공주시,269,0.3377,0.1211,0.0084
44210103,갈산동,서산시,379,0.428,0.1194,0.0058
44180104,동대동,보령시,415,0.3019,0.1192,0.0148
44210330,팔봉면,서산시,3902,6.9831,0.1188,0.0061
44210105,잠홍동,서산시,896,1.4555,0.1173,0.0072
44210104,온석동,서산시,499,0.6516,0.1168,0.0051
44131118,신부동,천안시동남구,191,0.1231,0.1159,0.0488
44131110,삼룡동,천안시동남구,236,0.1551,0.1154,0.0185
44150107,웅진동,공주시,181,0.222,0.115,0.0114
44210106,수석동,서산시,1512,2.3682,0.113,0.0056
44210108,석남동,서산시,551,1.032,0.1125,0.0048
44150360,의당면,공주시,2515,5.222,0.1121,0.0072
44270102,채운동,당진시,219,0.3849,0.112,0.0048
44180310,주포면,보령시,1895,2.6334,0.1119,0.0068
44180110,신흑동,보령시,815,1.9303,0.1109,0.0088
44200110,읍내동,아산시,246,0.2515,0.1108,0.0093
44210110,죽성동,서산시,461,1.1128,0.1103,0.0093
44230104,부창동,논산시,537,0.9077,0.1097,0.0094
44210113,장동,서산시,790,2.2203,0.1096,0.0057
44770250,장항읍,서천군,2567,5.463,0.1089,0.0104
44200114,권곡동,아산시,299,0.7578,0.1088,0.0157
44825250,태안읍,태안군,9557,24.1697,0.1087,0.0056
44210109,예천동,서산시,851,1.3112,0.1086,0.0098
44230110,강산동,논산시,397,0.6031,0.1084,0.0072
44210340,지곡면,서산시,3875,10.4439,0.108,0.0058
44270108,행정동,당진시,318,0.7584,0.1078,0.0044
44133250,성환읍,천안시서북구,7412,19.7283,0.1078,0.0094
44150380,우성면,공주시,4073,8.4638,0.1077,0.0099
44180108,남곡동,보령시,484,0.7509,0.1077,0.0056
44810310,대술면,예산군,3369,5.4605,0.1076,0.0085
44270105,시곡동,당진시,293,0.3771,0.1076,0.0041
44180410,주교면,보령시,3710,7.8959,0.1075,0.0062
44180101,대천동,보령시,831,1.8592,0.1073,0.0087
44150340,반포면,공주시,2011,1.7688,0.1065,0.008
44200119,남동,아산시,121,0.1191,0.1065,0.0134
44150116,소학동,공주시,128,0.2419,0.1065,0.0085
44210320,부석면,서산시,10551,54.2311,0.1058,0.007
44180250,웅천읍,보령시,5743,11.9522,0.1058,0.0082
44131111,청당동,천안시동남구,292,0.3262,0.1054,0.0247
44210400,고북면,서산시,9845,34.139,0.1051,0.0081
44770400,비인면,서천군,2653,4.5357,0.1049,0.0088
