sgg_nm,class_nm,parcels,area_km2
계룡시,과수,21,0.04
계룡시,논,1301,1.54
계룡시,밭,3355,1.78
계룡시,시설,629,0.26
공주시,과수,1125,3.02
공주시,논,37306,65.83
공주시,밭,55714,43.76
공주시,시설,11369,6.88
금산군,과수,626,1.19
금산군,논,8892,14.54
금산군,밭,45753,48.57
금산군,시설,7137,4.73
논산시,과수,2462,5.91
논산시,논,44643,108.94
논산시,밭,50147,42.52
논산시,시설,17439,25.63
당진시,과수,1200,3.53
당진시,논,65609,209.58
당진시,밭,62054,62.9
당진시,시설,16641,4.72
보령시,과수,614,1.09
보령시,논,42493,90.56
보령시,밭,44323,30.23
보령시,시설,10179,3.04
부여군,과수,1477,3.23
부여군,논,41208,103.99
부여군,밭,47136,32.15
부여군,시설,15607,20.4
서산시,과수,1316,2.44
서산시,논,61104,188.55
서산시,밭,61850,74.33
서산시,시설,16730,4.48
서천군,과수,592,1.03
서천군,논,34635,94.07
서천군,밭,35409,20.13
서천군,시설,7482,2.71
아산시,과수,3401,11.19
아산시,논,36445,99.33
아산시,밭,49430,39.59
아산시,시설,13322,3.52
예산군,과수,3317,12.25
예산군,논,42838,102.99
예산군,밭,42340,45.85
예산군,시설,15132,10.56
천안시동남구,과수,1308,2.76
천안시동남구,논,16887,34.58
천안시동남구,밭,32514,25.14
천안시동남구,시설,7303,5.02
천안시서북구,과수,4413,17.4
천안시서북구,논,9907,26.82
천안시서북구,밭,16794,18.17
천안시서북구,시설,2595,1.64
청양군,과수,855,1.86
청양군,논,25550,52.75
청양군,밭,36267,23.75
청양군,시설,9967,5.9
태안군,과수,524,1.12
태안군,논,31053,97.83
태안군,밭,50148,59.22
태안군,시설,16241,3.49
홍성군,과수,992,2.18
홍성군,논,38899,88.61
홍성군,밭,55493,43.23
홍성군,시설,14544,4.98
