event_id,class_nm,parcels,mean_double,mean_open,pct_double_ge50
o127_2021-07-21,과수,23458,0.0112,0.0697,0.42
o127_2021-07-21,논,534210,0.0063,0.1162,0.39
o127_2021-07-21,밭,661635,0.011,0.0715,0.84
o127_2021-07-21,시설,178651,0.0128,0.073,1.11
o127_2022-07-16,과수,23458,0.011,0.0666,0.38
o127_2022-07-16,논,534210,0.0123,0.0542,0.69
o127_2022-07-16,밭,661635,0.0091,0.0762,0.7
o127_2022-07-16,시설,178651,0.011,0.0687,0.95
o127_2023-07-23,과수,23458,0.4343,0.0011,45.11
o127_2023-07-23,논,534210,0.2921,0.0019,28.69
o127_2023-07-23,밭,661635,0.3951,0.0008,42.09
o127_2023-07-23,시설,178651,0.319,0.0046,34.69
o127_2024-07-17,과수,23458,0.0782,0.0163,5.09
o127_2024-07-17,논,534210,0.0843,0.0084,6.65
o127_2024-07-17,밭,661635,0.0859,0.011,7.94
o127_2024-07-17,시설,178651,0.0915,0.0114,9.08
o127_2025-07-24,과수,23458,0.0212,0.0458,1.09
o127_2025-07-24,논,534210,0.0209,0.0294,1.42
o127_2025-07-24,밭,661635,0.0162,0.0443,1.31
o127_2025-07-24,시설,178651,0.018,0.0472,1.57
o134_2025-07-19,과수,23411,0.1802,0.0076,14.77
o134_2025-07-19,논,529401,0.257,0.0119,25.67
o134_2025-07-19,밭,656175,0.206,0.0089,20.9
o134_2025-07-19,시설,176787,0.2033,0.0117,21.7
