date,time_kst,rel_orbit,direction,sat,frames,coverage_pct
2021-06-03,18:31,127,ASCENDING,S1A,1,100.0
2021-06-10,18:23,54,ASCENDING,S1A,1,2.0
2021-06-10,06:32,134,DESCENDING,S1B,1,99.9
2021-06-15,18:31,127,ASCENDING,S1A,1,100.0
2021-06-22,06:32,134,DESCENDING,S1B,1,99.9
2021-06-27,06:39,32,DESCENDING,S1B,1,0.0
2021-06-27,18:31,127,ASCENDING,S1A,1,100.0
2021-07-04,18:23,54,ASCENDING,S1A,2,2.9
2021-07-09,18:31,127,ASCENDING,S1A,1,100.0
2021-07-16,18:23,54,ASCENDING,S1A,2,2.9
2021-07-16,06:32,134,DESCENDING,S1B,1,99.9
2021-07-21,18:31,127,ASCENDING,S1A,1,100.0
2021-07-27,06:40,32,DESCENDING,S1A,1,63.9
2021-07-28,18:23,54,ASCENDING,S1A,2,2.9
2021-07-28,06:32,134,DESCENDING,S1B,1,99.9
2021-08-02,18:31,127,ASCENDING,S1A,1,100.0
2021-08-09,06:32,134,DESCENDING,S1B,1,99.9
2021-08-14,06:40,32,DESCENDING,S1B,1,0.0
2021-08-14,18:31,127,ASCENDING,S1A,1,100.0
2021-08-21,18:23,54,ASCENDING,S1A,2,2.9
2021-08-21,06:32,134,DESCENDING,S1B,1,99.9
2021-08-26,06:40,32,DESCENDING,S1B,1,0.0
2021-08-26,18:31,127,ASCENDING,S1A,1,100.0
2022-06-05,18:23,54,ASCENDING,S1A,2,2.9
2022-06-10,18:31,127,ASCENDING,S1A,1,100.0
2022-06-17,18:23,54,ASCENDING,S1A,2,2.9
2022-06-22,18:31,127,ASCENDING,S1A,1,100.0
2022-06-29,18:23,54,ASCENDING,S1A,2,2.9
2022-07-04,18:31,127,ASCENDING,S1A,1,100.0
2022-07-11,18:23,54,ASCENDING,S1A,2,2.9
2022-07-16,18:31,127,ASCENDING,S1A,1,100.0
2022-07-23,18:23,54,ASCENDING,S1A,2,2.9
2022-07-28,18:31,127,ASCENDING,S1A,1,100.0
2022-08-04,18:23,54,ASCENDING,S1A,2,2.9
2022-08-09,18:32,127,ASCENDING,S1A,1,100.0
2022-08-16,18:23,54,ASCENDING,S1A,2,2.9
2022-08-21,18:32,127,ASCENDING,S1A,1,100.0
2022-08-28,18:23,54,ASCENDING,S1A,2,2.9
2023-06-05,18:32,127,ASCENDING,S1A,1,39.6
2023-06-12,18:23,54,ASCENDING,S1A,2,2.9
2023-06-17,18:32,127,ASCENDING,S1A,1,100.0
2023-06-24,18:23,54,ASCENDING,S1A,2,2.9
2023-06-29,18:32,127,ASCENDING,S1A,1,100.0
2023-07-18,18:23,54,ASCENDING,S1A,2,2.9
2023-07-23,18:32,127,ASCENDING,S1A,1,100.0
2023-07-24,06:32,134,DESCENDING,S1A,1,99.2
2023-07-30,18:23,54,ASCENDING,S1A,2,2.9
2023-08-04,18:32,127,ASCENDING,S1A,1,100.0
2023-08-16,18:32,127,ASCENDING,S1A,1,100.0
2023-08-28,18:32,127,ASCENDING,S1A,1,100.0
2024-06-11,18:32,127,ASCENDING,S1A,1,39.6
2024-06-18,18:23,54,ASCENDING,S1A,1,2.0
2024-06-23,18:32,127,ASCENDING,S1A,1,39.6
2024-06-30,18:23,54,ASCENDING,S1A,2,2.8
2024-07-05,18:32,127,ASCENDING,S1A,1,100.0
2024-07-12,18:23,54,ASCENDING,S1A,2,2.8
2024-07-17,18:32,127,ASCENDING,S1A,1,100.0
2024-07-24,18:23,54,ASCENDING,S1A,2,2.8
2024-07-29,18:32,127,ASCENDING,S1A,1,100.0
2024-08-05,18:23,54,ASCENDING,S1A,2,2.8
2024-08-10,18:32,127,ASCENDING,S1A,1,100.0
2024-08-17,18:23,54,ASCENDING,S1A,2,2.9
2024-08-22,18:32,127,ASCENDING,S1A,1,100.0
2024-08-29,18:23,54,ASCENDING,S1A,2,2.9
2025-06-06,18:31,127,ASCENDING,S1A,1,39.6
2025-06-18,18:31,127,ASCENDING,S1A,1,100.0
2025-06-25,18:23,54,ASCENDING,S1A,2,2.8
2025-06-30,18:31,127,ASCENDING,S1A,1,100.0
2025-07-07,18:23,54,ASCENDING,S1A,2,2.8
2025-07-19,18:23,54,ASCENDING,S1A,1,2.0
2025-07-19,06:31,134,DESCENDING,S1C,1,99.0
2025-07-24,18:31,127,ASCENDING,S1A,1,100.0
2025-07-25,18:22,54,ASCENDING,S1C,2,3.5
2025-07-31,18:23,54,ASCENDING,S1A,2,2.8
2025-08-05,18:31,127,ASCENDING,S1A,1,100.0
2025-08-06,18:22,54,ASCENDING,S1C,1,3.0
2025-08-06,06:32,134,DESCENDING,S1A,2,99.0
2025-08-11,18:31,127,ASCENDING,S1C,2,100.0
2025-08-12,18:23,54,ASCENDING,S1A,2,2.8
2025-08-12,06:31,134,DESCENDING,S1C,2,99.0
2025-08-17,18:31,127,ASCENDING,S1A,1,100.0
2025-08-24,18:23,54,ASCENDING,S1A,2,2.9
2025-08-24,06:31,134,DESCENDING,S1C,1,99.9
2025-08-29,18:31,127,ASCENDING,S1A,1,100.0
