date,time_kst,rel_orbit,direction,sat,frames,coverage_pct,rain1d,rain3d,rain7d
2020-08-07,18:31,127,ASCENDING,S1A,1,100.0,74.7,142.9,199.2
2020-07-14,18:31,127,ASCENDING,S1A,1,100.0,16.3,137.6,172.4
2025-07-19,06:31,134,DESCENDING,S1C,1,99.0,35.4,127.2,174.9
2020-09-07,06:32,134,DESCENDING,S1B,1,99.9,73.9,86.5,160.7
2023-07-24,06:32,134,DESCENDING,S1A,1,99.2,5.9,70.9,120.0
2018-07-01,18:31,127,ASCENDING,S1A,1,100.0,61.0,68.7,148.7
2023-07-23,18:32,127,ASCENDING,S1A,1,100.0,50.9,65.7,124.2
2019-07-27,06:31,134,DESCENDING,S1B,1,99.9,14.6,64.0,74.1
2017-09-11,06:31,134,DESCENDING,S1B,1,99.9,62.9,62.9,65.5
2018-08-25,06:31,134,DESCENDING,S1B,1,99.9,2.2,62.2,74.2
2018-08-24,18:31,127,ASCENDING,S1B,2,87.9,41.5,60.0,72.0
2023-06-29,18:32,127,ASCENDING,S1A,1,100.0,48.6,59.4,97.9
2021-08-26,18:31,127,ASCENDING,S1A,1,100.0,0.1,58.4,159.5
2019-09-06,18:31,127,ASCENDING,S1A,1,100.0,7.4,57.9,67.5
2021-09-07,18:31,127,ASCENDING,S1A,1,100.0,8.0,52.6,94.0
2021-09-02,06:32,134,DESCENDING,S1B,1,99.9,3.9,51.7,85.8
2018-08-30,18:31,127,ASCENDING,S1A,1,100.0,20.7,49.3,248.0
2021-07-09,18:31,127,ASCENDING,S1A,1,100.0,0.8,47.7,119.1
2024-08-22,18:32,127,ASCENDING,S1A,1,100.0,4.7,47.2,59.0
2019-08-13,18:31,127,ASCENDING,S1A,1,100.0,1.9,46.6,60.4
2017-08-11,18:31,127,ASCENDING,S1A,1,100.0,3.0,46.2,52.7
2021-08-21,06:32,134,DESCENDING,S1B,1,99.9,41.9,45.5,53.0
2019-09-07,06:32,134,DESCENDING,S1A,2,99.4,12.0,41.1,79.1
2017-08-23,18:31,127,ASCENDING,S1A,1,100.0,7.8,40.7,96.3
2019-07-20,18:31,127,ASCENDING,S1A,1,100.0,32.9,40.4,59.1
2024-07-17,18:32,127,ASCENDING,S1A,1,100.0,8.0,39.0,47.8
2018-06-26,06:31,134,DESCENDING,S1B,1,99.9,38.0,38.0,38.0
2025-08-05,18:31,127,ASCENDING,S1A,1,100.0,0.6,37.4,38.4
2021-08-02,18:31,127,ASCENDING,S1A,1,100.0,15.5,37.0,39.3
2020-08-02,06:32,134,DESCENDING,S1B,1,99.9,16.6,35.6,99.4
2020-07-02,18:31,127,ASCENDING,S1A,1,100.0,0.4,35.2,80.9
2017-07-06,18:31,127,ASCENDING,S1A,1,100.0,8.2,30.2,123.3
2019-06-09,06:31,134,DESCENDING,S1B,1,99.9,3.4,28.0,39.4
2020-07-26,18:31,127,ASCENDING,S1A,1,100.0,2.6,26.8,129.0
