storm_id,start,end,peak_date,peak_mm,total_mm,days,observed,grade,lag_hours,rel_orbit,obs_kst,acquisition_reliability,status,next_pass_kst,next_pass_orbit,next_pass_lag_hours,reason
S20170703,2017-07-02,2017-07-05,2017-07-03,49.0,104.5,4,True,B,75.5,127.0,2017-07-06 18:31,0.87,observed_late,,,,peak +76시간 — 잔존 침수만 관측. 논은 배수됐을 수 있음
S20170710,2017-07-10,2017-07-11,2017-07-10,33.7,38.5,2,True,B,63.5,134.0,2017-07-13 06:31,0.63,observed_late,,,,peak +64시간 — 잔존 침수만 관측. 논은 배수됐을 수 있음
S20170715,2017-07-15,2017-07-17,2017-07-15,82.8,102.7,3,True,B,75.5,127.0,2017-07-18 18:31,0.87,observed_late,,,,peak +76시간 — 잔존 침수만 관측. 논은 배수됐을 수 있음
S20170731,2017-07-31,2017-08-02,2017-07-31,48.9,57.0,3,True,C,135.5,134.0,2017-08-06 06:31,0.63,observed_late,,,,peak +136시간 — 사건을 놓친 관측. 현장조사 필요
S20170810,2017-08-10,2017-08-10,2017-08-10,35.2,35.2,1,True,A,27.5,127.0,2017-08-11 18:31,0.87,observed_good,,,,peak +28시간 — 침수 범위 판정 신뢰 가능
S20170814,2017-08-14,2017-08-16,2017-08-14,87.4,102.7,3,True,B,87.5,134.0,2017-08-18 06:31,0.63,observed_late,,,,peak +88시간 — 잔존 침수만 관측. 논은 배수됐을 수 있음
S20170820,2017-08-20,2017-08-22,2017-08-20,42.6,75.5,3,True,B,75.5,127.0,2017-08-23 18:31,0.87,observed_late,,,,peak +76시간 — 잔존 침수만 관측. 논은 배수됐을 수 있음
S20170911,2017-09-11,2017-09-13,2017-09-11,62.9,62.9,3,True,C,123.5,127.0,2017-09-16 18:31,0.87,observed_late,,,,peak +124시간 — 사건을 놓친 관측. 현장조사 필요
S20180228,2018-02-28,2018-02-28,2018-02-28,33.0,33.0,1,True,C,231.5,134.0,2018-03-10 06:31,0.63,observed_late,,,,peak +232시간 — 사건을 놓친 관측. 현장조사 필요
S20180423,2018-04-23,2018-04-25,2018-04-23,45.7,53.8,3,True,B,87.5,134.0,2018-04-27 06:31,0.63,observed_late,,,,peak +88시간 — 잔존 침수만 관측. 논은 배수됐을 수 있음
